"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Glenwood Springs, CO","24060",2024,366,212,149,5,0,0,0,133,74,49,0,0,356,8,2
"Grand Island, NE","24260",2024,323,248,75,0,0,0,0,80,56,32,0,0,0,323,0
"Grand Junction, CO","24300",2024,366,215,144,7,0,0,0,136,77,48,0,0,305,59,2
"Grand Rapids-Wyoming, MI","24340",2024,366,178,187,1,0,0,0,112,71,51,0,2,118,246,0
"Grants Pass, OR","24420",2024,366,284,74,8,0,0,0,146,60,29,0,0,0,366,0
"Great Falls, MT","24500",2024,87,52,35,0,0,0,0,74,58,46,0,0,0,87,0
"Greeley, CO","24540",2024,366,149,196,19,2,0,0,164,87,54,0,0,256,110,0
"Green Bay, WI","24580",2024,366,281,84,1,0,0,0,105,61,38,0,0,171,195,0
"Greenfield Town, MA","24640",2024,365,296,69,0,0,0,0,94,56,36,0,0,217,148,0
"Greensboro-High Point, NC","24660",2024,366,243,122,1,0,0,0,122,61,45,0,0,157,198,11
"Greenville, NC","24780",2024,352,302,50,0,0,0,0,74,53,37,0,0,176,176,0
"Greenville-Anderson-Mauldin, SC","24860",2024,363,195,167,1,0,0,0,115,67,49,0,1,154,208,0
"Guayama, PR","25020",2024,52,51,1,0,0,0,0,53,29,15,0,0,0,0,52
"Gulfport-Biloxi-Pascagoula, MS","25060",2024,366,216,145,4,1,0,0,157,67,47,0,0,130,236,0
"Hagerstown-Martinsburg, MD-WV","25180",2024,363,270,93,0,0,0,0,97,61,42,0,0,218,145,0
"Hailey, ID","25200",2024,359,310,43,4,1,1,0,220,57,19,0,0,0,359,0
"Hammond, LA","25220",2024,127,67,60,0,0,0,0,77,62,47,0,0,0,127,0
"Hanford-Corcoran, CA","25260",2024,366,100,231,33,2,0,0,156,100,60,0,0,165,146,55
"Harrisburg-Carlisle, PA","25420",2024,366,201,163,2,0,0,0,105,70,48,0,0,151,215,0
"Harrison, AR","25460",2024,366,334,32,0,0,0,0,87,50,39,0,0,337,29,0
"Harrisonburg, VA","25500",2024,366,283,83,0,0,0,0,83,56,42,0,20,158,188,0
"Hartford-West Hartford-East Hartford, CT","25540",2024,366,276,81,8,1,0,0,185,64,40,0,16,228,122,0
"Hattiesburg, MS","25620",2024,362,202,159,1,0,0,0,103,63,47,0,0,0,362,0
"Havre, MT","25660",2024,339,314,23,2,0,0,0,123,46,15,0,0,0,339,0
"Heber, UT","25720",2024,153,138,14,1,0,0,0,108,49,37,0,1,121,31,0
"Helena, MT","25740",2024,366,233,127,5,1,0,0,160,73,46,0,0,202,164,0
